"""",Afghanistan,"""",:,4,","
"""",Albania,"""",:,8,","
"""",Algeria,"""",:,12,","
"""",American Samoa,"""",:,16,","
"""",Andorra,"""",:,20,","
"""",Angola,"""",:,24,","
"""",Anguilla,"""",:,660,","
"""",Antigua and Barbuda,"""",:,28,","
"""",Argentina,"""",:,32,","
"""",Armenia,"""",:,51,","
"""",Aruba,"""",:,553,","
"""",Australia,"""",:,36,","
"""",Austria,"""",:,40,","
"""",Azerbaijan,"""",:,31,","
"""",Bahamas,"""",:,44,","
"""",Bangladesh,"""",:,50,","
"""",Barbados,"""",:,52,","
"""",Belarus,"""",:,112,","
"""",Belgium,"""",:,56,","
"""",Belize,"""",:,84,","
"""",Benin,"""",:,204,","
"""",Bermuda,"""",:,60,","
"""",Bhutan,"""",:,64,","
"""",Bolivia,"""",:,68,","
"""",Bosnia and Herzegovina,"""",:,70,","
"""",Botswana,"""",:,72,","
"""",Brazil,"""",:,76,","
"""",British Virgin Islands,"""",:,92,","
"""",Brunei,"""",:,96,","
"""",Bulgaria,"""",:,100,","
"""",Burkina Faso,"""",:,854,","
"""",Burundi,"""",:,108,","
"""",Cabo Verde,"""",:,132,","
"""",Cambodia,"""",:,116,","
"""",Cameroon,"""",:,120,","
"""",Canada,"""",:,124,","
"""",Cayman Islands,"""",:,136,","
"""",Central African Republic,"""",:,140,","
"""",Chad,"""",:,148,","
"""",Chile,"""",:,152,","
"""",China,"""",:,156,","
"""",Colombia,"""",:,170,","
"""",Comoros,"""",:,174,","
"""",Congo,"""",:,178,","
"""",Cook Islands,"""",:,184,","
"""",Costa Rica,"""",:,188,","
"""",Côte d'Ivoire,"""",:,384,","
"""",Croatia,"""",:,191,","
"""",Cuba,"""",:,192,","
"""",Curaçao,"""",:,530,","
"""",Cyprus,"""",:,196,","
"""",Czech Republic,"""",:,203,","
"""",Denmark,"""",:,208,","
"""",Djibouti,"""",:,262,","
"""",Dominica,"""",:,212,","
"""",Dominican Republic,"""",:,214,","
"""",DR Congo,"""",:,180,","
"""",Ecuador,"""",:,218,","
"""",Egypt,"""",:,818,","
"""",El Salvador,"""",:,222,","
"""",Equatorial Guinea,"""",:,226,","
"""",Eritrea,"""",:,232,","
"""",Estonia,"""",:,233,","
"""",Ethiopia,"""",:,231,","
"""",Faeroe Islands,"""",:,234,","
"""",Falkland Islands,"""",:,238,","
"""",Fiji,"""",:,242,","
"""",Finland,"""",:,246,","
"""",France,"""",:,250,","
"""",French Guiana,"""",:,254,","
"""",French Polynesia,"""",:,258,","
"""",Gabon,"""",:,266,","
"""",Gambia,"""",:,270,","
"""",Georgia,"""",:,268,","
"""",Germany,"""",:,276,","
"""",Ghana,"""",:,288,","
"""",Greece,"""",:,300,","
"""",Greenland,"""",:,304,","
"""",Grenada,"""",:,308.10785,","
"""",Guadeloupe,"""",:,312,","
"""",Guam,"""",:,316,","
"""",Guatemala,"""",:,320,","
"""",Guinea,"""",:,324,","
"""",Guinea-Bissau,"""",:,624,","
"""",Guyana,"""",:,328,","
"""",Haiti,"""",:,332,","
"""",Honduras,"""",:,340,","
"""",Hungary,"""",:,348,","
"""",Iceland,"""",:,352,","
"""",India,"""",:,356,","
"""",Indonesia,"""",:,360,","
"""",Iran,"""",:,364,","
"""",Iraq,"""",:,368,","
"""",Ireland,"""",:,372,","
"""",Isle of Man,"""",:,833,","
"""",Israel,"""",:,376,","
"""",Italy,"""",:,380,","
"""",Jamaica,"""",:,388,","
"""",Japan,"""",:,392,","
"""",Jordan,"""",:,400,","
"""",Kazakhstan,"""",:,398,","
"""",Kenya,"""",:,404,","
"""",Kiribati,"""",:,296,","
"""",Kuwait,"""",:,414,","
"""",Kyrgyzstan,"""",:,417,","
"""",Laos,"""",:,418,","
"""",Latvia,"""",:,428,","
"""",Lebanon,"""",:,422,","
"""",Lesotho,"""",:,426,","
"""",Liberia,"""",:,430,","
"""",Libya,"""",:,434,","
"""",Liechtenstein,"""",:,438,","
"""",Lithuania,"""",:,440,","
"""",Luxembourg,"""",:,442,","
"""",Madagascar,"""",:,450,","
"""",Malawi,"""",:,454,","
"""",Malaysia,"""",:,458,","
"""",Maldives,"""",:,462,","
"""",Mali,"""",:,466,","
"""",Marshall Islands,"""",:,584,","
"""",Martinique,"""",:,474,","
"""",Mauritania,"""",:,478,","
"""",Mauritius,"""",:,480,","
"""",Mayotte,"""",:,175,","
"""",Mexico,"""",:,484,","
"""",Micronesia,"""",:,583,","
"""",Moldova,"""",:,498,","
"""",Mongolia,"""",:,496,","
"""",Montenegro,"""",:,499,","
"""",Montserrat,"""",:,500,","
"""",Morocco,"""",:,504,","
"""",Mozambique,"""",:,508,","
"""",Myanmar,"""",:,104,","
"""",Namibia,"""",:,516,","
"""",Nauru,"""",:,520,","
"""",Nepal,"""",:,524,","
"""",Netherlands,"""",:,528,","
"""",New Caledonia,"""",:,540,","
"""",New Zealand,"""",:,554,","
"""",Nicaragua,"""",:,558,","
"""",Niger,"""",:,562,","
"""",Nigeria,"""",:,566,","
"""",Niue,"""",:,570,","
"""",North Korea,"""",:,408,","
"""",Northern Mariana Islands,"""",:,580,","
"""",Norway,"""",:,578,","
"""",Oman,"""",:,512,","
"""",Pakistan,"""",:,586,","
"""",Palau,"""",:,585,","
"""",Panama,"""",:,591,","
"""",Papua New Guinea,"""",:,598,","
"""",Paraguay,"""",:,600,","
"""",Peru,"""",:,604,","
"""",Philippines,"""",:,608,","
"""",Poland,"""",:,616,","
"""",Portugal,"""",:,620,","
"""",Puerto Rico,"""",:,630,","
"""",Qatar,"""",:,634,","
"""",Réunion,"""",:,638,","
"""",Romania,"""",:,642,","
"""",Russia,"""",:,643,","
"""",Rwanda,"""",:,646,","
"""",Saint Helena,"""",:,654,","
"""",Saint Kitts and Nevis,"""",:,659,","
"""",Saint Lucia,"""",:,662,","
"""",Saint Pierre and Miquelon,"""",:,666,","
"""",Samoa,"""",:,882,","
"""",San Marino,"""",:,674,","
"""",Sao Tome and Principe,"""",:,678,","
"""",Saudi Arabia,"""",:,682,","
"""",Senegal,"""",:,686,","
"""",Serbia,"""",:,688,","
"""",Seychelles,"""",:,690,","
"""",Sierra Leone,"""",:,694,","
"""",Slovakia,"""",:,703,","
"""",Slovenia,"""",:,705,","
"""",Solomon Islands,"""",:,90,","
"""",Somalia,"""",:,706,","
"""",South Africa,"""",:,710,","
"""",South Korea,"""",:,410,","
"""",South Sudan,"""",:,728,","
"""",Spain,"""",:,724,","
"""",Sri Lanka,"""",:,144,","
"""",St. Vincent & Grenadines,"""",:,670,","
"""",State of Palestine,"""",:,275,","
"""",Sudan,"""",:,729,","
"""",Suriname,"""",:,740,","
"""",Swaziland,"""",:,748,","
"""",Sweden,"""",:,752,","
"""",Switzerland,"""",:,756,","
"""",Syria,"""",:,760,","
"""",Taiwan,"""",:,158,","
"""",Tajikistan,"""",:,762,","
"""",Tanzania,"""",:,834,","
"""",TFYR Macedonia,"""",:,807,","
"""",Thailand,"""",:,764,","
"""",Timor-Leste,"""",:,626,","
"""",Togo,"""",:,768,","
"""",Tokelau,"""",:,772,","
"""",Tonga,"""",:,776,","
"""",Trinidad and Tobago,"""",:,780,","
"""",Tunisia,"""",:,788,","
"""",Turkey,"""",:,792,","
"""",Turkmenistan,"""",:,795,","
"""",Turks and Caicos Islands,"""",:,796,","
"""",Tuvalu,"""",:,798,","
"""",U.K.,"""",:,826,","
"""",U.S.,"""",:,840,","
"""",Uganda,"""",:,800,","
"""",Ukraine,"""",:,804,","
"""",United Arab Emirates,"""",:,784,","
"""",United States Virgin Islands,"""",:,850,","
"""",Uruguay,"""",:,858,","
"""",Uzbekistan,"""",:,860,","
"""",Vanuatu,"""",:,548,","
"""",Venezuela,"""",:,862,","
"""",Viet Nam,"""",:,704,","
"""",Wallis and Futuna,"""",:,876,","
"""",Western Sahara,"""",:,732,","
"""",Yemen,"""",:,887,","
"""",Zambia,"""",:,894,","
"""",Zimbabwe,"""",:,716,","
